Eng,Ja,Rating,Area,Blog
Aumunishikiyamachi,AWOMB西木屋町,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26027054/
Kemuri,燻,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26012683/
Tokiwa,登喜和,3.52,"
              京都市北部            ",https://tabelog.com/tw/kyoto/A2601/A260504/26006963/
Ramensouchikyuukibodekangaerosora,ラーメン荘 地球規模で考えろ ソラ,3.52,"
              西院・桂            ",https://tabelog.com/tw/kyoto/A2601/A260401/26028915/
Kinnoyuritei,金の百合亭,3.52,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26024173/
Tougenkyou,逃現郷,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26016399/
Akatsukikohi,アカツキコーヒー,3.52,"
              一乘寺・修學院            ",https://tabelog.com/tw/kyoto/A2601/A260303/26021308/
Refurerumutou,レ フレール ムトウ 岩倉本店,3.52,"
              鞍馬・貴船            ",https://tabelog.com/tw/kyoto/A2601/A260502/26003987/
BAKEHOUSE Mere,ベークハウス メール,3.52,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26016549/
Muginoyoake,麦の夜明け,3.52,"
              壬生・二條城周邊            ",https://tabelog.com/tw/kyoto/A2601/A260203/26037048/
Demachifutaba,出町ふたば JR京都伊勢丹,3.52,"
              京都車站周邊            ",https://tabelog.com/tw/kyoto/A2601/A260101/26023639/
Tokohabekari,トコハベーカリー,3.52,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26004183/
Maedakohi,前田珈琲 文博店,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26023323/
Mizuhakitagawa,みずは北川,3.52,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26005606/
Tsuruyakotobuki,鶴屋寿 本店,3.52,"
              嵯峨・嵐山・保津峽            ",https://tabelog.com/tw/kyoto/A2601/A260403/26019365/
GLOBE MOUNTAIN COFFEE,グローブ マウンテン コーヒー,3.52,"
              西院・桂            ",https://tabelog.com/tw/kyoto/A2601/A260401/26014113/
Sashiminogyoshin,さしみの魚紳,3.52,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26001985/
Nihonryourikyoutohanagoyomi,日本料理 京都 華暦,3.52,"
              鞍馬・貴船            ",https://tabelog.com/tw/kyoto/A2601/A260502/26006434/
Prangipani,フランジパニ,3.52,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26002496/
Juvanseru,ジュヴァンセル ジェイアール京都伊勢丹店,3.52,"
              京都車站周邊            ",https://tabelog.com/tw/kyoto/A2601/A260101/26017926/
ba-ke-ya,bar K家 別館,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26018349/
Deux Cochons,ドゥ コション,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26005932/
Kushiyakiinoda,串焼き いの田,3.52,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26004768/
WIFE&HUSBAND,ワイフアンドハズバンド,3.52,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26026124/
Shinkokan,真古館,3.52,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26008988/
sumiyakikimura,炭焼　きむら,3.52,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26004989/
Akihana,秋華,3.52,"
              一乘寺・修學院            ",https://tabelog.com/tw/kyoto/A2601/A260303/26033101/
rino,Lino,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26029038/
Kameyanorikatsu,亀屋則克,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26002396/
Yoshida,よし田,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26005866/
Sumizou,炭蔵,3.52,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26008197/
Sakabukuro,さかぶくろ,3.52,"
              西院・桂            ",https://tabelog.com/tw/kyoto/A2601/A260401/26016972/
Hiiragiya,柊家 別館,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26000454/
Lilou ,Lilou ,3.52,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26026701/
Marushinhanten,マルシン飯店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26002804/
Quil Fait Bon,キル フェ ボン 京都店,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26000243/
nanzenjijunsei,南禅寺 順正,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26001013/
Zezekampocchiri,膳處漢ぽっちり,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26001011/
Jambo,ジャンボ,3.51,"
              金閣寺・北野天滿宮周邊            ",https://tabelog.com/tw/kyoto/A2601/A260501/26000617/
EX cafe,eX cafe 京都嵐山本店,3.51,"
              嵯峨・嵐山・保津峽            ",https://tabelog.com/tw/kyoto/A2601/A260403/26005251/
GRILL DEMI,グリル デミ,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26002516/
Negiyaheikichi,葱や平吉 高瀬川店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26002547/
Fumiya,冨美家,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26017337/
Sabakaidouhanaore,鯖街道 花折 下鴨店,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26001753/
Kicchingorira,キッチンごりら,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26018847/
Miyako,京都肉×青果サワー 京,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26034196/
sheimeihoxasaikontan,雪梅花 菜根譚,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26002647/
hyouto,瓢斗 四条烏丸店,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26002130/
Menyakiramekikyoutosanjou,麺屋キラメキ 京都三条,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26029157/
Umezono,梅園 清水店,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26001861/
Kamodashichuukasobaroku,鴨出汁中華そば ROKU,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26034994/
Kitayamakouchakan,北山紅茶館,3.51,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26001788/
Hakatakko,博多っ子,3.51,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26001756/
Iduu,いづう 京都大丸店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26002716/
Misutaramen,ミスターラーメン,3.51,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26003837/
sumika,棲家 富小路店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26013971/
sumibikushiyakitorito,炭火串焼とりと,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26002638/
KARA-KUSA curry,カラクサカレー,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26025396/
ra-menakakage,RA-MEN 赤影,3.51,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26017598/
Sir Thomas LIPTON,サー・トーマス・リプトン 四条店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26004190/
onkashitsukasakyoutotsuruyakakujuan,御菓子司 京都 鶴屋 鶴壽庵,3.51,"
              壬生・二條城周邊            ",https://tabelog.com/tw/kyoto/A2601/A260203/26005809/
Ichizenya,一善や 京都店,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26000379/
Marifuransu,マリーフランス 今出川店,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26003834/
Sobadokorosasaya,蕎麦處 笹屋,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26004345/
Bisuya,ゑびす屋,3.51,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26021663/
Menyaikkuu,麺屋一空,3.51,"
              上鳥羽            ",https://tabelog.com/tw/kyoto/A2601/A260604/26030538/
Chakoubounagatake,茶香房 長竹,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26000022/
Restaurant Tagami,レストラン タガミ,3.51,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26017836/
TOSHOaN ,都松庵,3.51,"
              壬生・二條城周邊            ",https://tabelog.com/tw/kyoto/A2601/A260203/26009019/
Chougoroumochihompo,長五郎餅本舗 本店,3.51,"
              金閣寺・北野天滿宮周邊            ",https://tabelog.com/tw/kyoto/A2601/A260501/26001032/
Shigetsu,篩月,3.51,"
              嵯峨・嵐山・保津峽            ",https://tabelog.com/tw/kyoto/A2601/A260403/26000923/
Ikkizou,一喜蔵,3.51,"
              丹波高原・美山            ",https://tabelog.com/tw/kyoto/A2608/A260803/26022071/
Tentenyuuhirumaya,天天有 ひるまや,3.51,"
              向日・八幡・久御山            ",https://tabelog.com/tw/kyoto/A2607/A260702/26023821/
Yougashimaunten,洋菓子マウンテン,3.51,"
              綾部・福知山            ",https://tabelog.com/tw/kyoto/A2608/A260802/26027853/
Fukueidou,福栄堂,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26000564/
Bansankyoushoku,BANSAN 京色,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26020008/
Kitazato,きたざと,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26010478/
Tono,ラーメン との 加茂店,3.51,"
              木津川・和束・笠置・南山城            ",https://tabelog.com/tw/kyoto/A2607/A260705/26013939/
Itoukyuuemon,伊藤久右衛門 平等院店,3.51,"
              宇治・宇治田原            ",https://tabelog.com/tw/kyoto/A2607/A260701/26014604/
Kintame,近為 京都本店,3.51,"
              金閣寺・北野天滿宮周邊            ",https://tabelog.com/tw/kyoto/A2601/A260501/26000509/
Ramemmugyu,ラーメンムギュ vol.2 烏丸蛸薬師店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26031480/
Cour au midi,クー・オ・ミディ,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26001527/
Bieruthi,ビーエルティー,3.51,"
              西院・桂            ",https://tabelog.com/tw/kyoto/A2601/A260401/26007569/
Toto,魚源 西舞鶴店,3.51,"
              舞鶴            ",https://tabelog.com/tw/kyoto/A2609/A260902/26026452/
Kitsuchimpotsuto,キッチンぽっと,3.51,"
              寶池・北山            ",https://tabelog.com/tw/kyoto/A2601/A260503/26012039/
WEEKENDERS COFFEE,ウイークエンダーズコーヒー 富小路,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26027631/
Tsukemenyumenchu,つけ麺 夢人,3.51,"
              山科            ",https://tabelog.com/tw/kyoto/A2601/A260603/26031323/
Cake&Cookie Lindenbaum,ケーキ&クッキー リンデンバウム,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26028729/
giwonyata,祇をん 八咫,3.51,"
              祇園・清水寺・東山            ",https://tabelog.com/tw/kyoto/A2601/A260301/26000557/
Miel mie,miel mie 三条本店,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26003762/
Katoujuntsukemonoten,加藤順漬物店,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26013379/
Boulange Okuda,ブーランジェ オクダ 西陣店,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26018128/
Master-piece coffee,master-piece coffee kyoto,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26021736/
kashiosaketen,樫尾酒店 本店,3.51,"
              西院・桂            ",https://tabelog.com/tw/kyoto/A2601/A260401/26020432/
Purejirushukure,プレジール・シュクレ,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26012761/
Setsugekka,雪月花,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26000626/
Aburaya,油屋,3.51,"
              宮津・天橋立・伊根            ",https://tabelog.com/tw/kyoto/A2609/A260901/26007018/
Kinseryokan,きんせ旅館,3.51,"
              壬生・二條城周邊            ",https://tabelog.com/tw/kyoto/A2601/A260203/26015758/
Baoku,Bar 奥,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26002102/
Kokokirari,ココ・キラリ,3.51,"
              伏見稻荷・伏見桃山            ",https://tabelog.com/tw/kyoto/A2601/A260601/26005970/
Chougoroumochi,長五郎餅 北野天満宮 境内茶店,3.51,"
              金閣寺・北野天滿宮周邊            ",https://tabelog.com/tw/kyoto/A2601/A260501/26020400/
AssietteDessert mikan,アシェットデセール 未完,3.51,"
              御所周邊            ",https://tabelog.com/tw/kyoto/A2601/A260202/26029734/
Magu,mag,3.51,"
              河原町・木屋町・先斗町            ",https://tabelog.com/tw/kyoto/A2601/A260201/26023301/
Tenjindou,天神堂,3.51,"
              金閣寺・北野天滿宮周邊            ",https://tabelog.com/tw/kyoto/A2601/A260501/26002580/
Sampo,sampo,3.51,"
              下鴨神社・北白川・銀閣寺            ",https://tabelog.com/tw/kyoto/A2601/A260302/26022228/
